Randomized Student ID,Start Term,Enrollment Type,Pell,First Gen,Legal Sex,Student of Color?,Retention,Weighted HS GPA,LC GPA,Major Division,AcademicMotivation_Indicator,Grit_Indicator,Worries_Indicator,AcMo_WorkHardLearn,AcMo_TestSuccessPrep,AcMo_HSReadAboveReq,AcMo_TalkTchOutClass,AcMo_GoodGradesImp,AcMo_ChallengeMaterial,AcMo_ImpAcademicExp,AcMo_EnjoyAcademicExp,Conf_AttendInst,Conf_KnowMajor,Grit_IgnoreSetbacks,Grit_HardWork,Grit_FinishThings,Grit_Diligent,Grit_OvercomeSetbacks,CollGoals_MeaningfulCareer,CollGoals_LearnPrepForLife,CollGoals_IntPersChallenges,CollGoals_Friendships,CollGoals_DoWithLife,CollGoals_FinSuppSelf,CollGoals_GoodLifeFamily,CollGoals_FamilyProud,CollGoals_GiveBack,CollGoals_GradSchool,CollGoals_PositiveImpact,CollGoals_Other,CollGoals_Other_TEXT,CollGoals_total,Worries_DoWellAcad,Worries_MakeFriends,Worries_PayBills,Worries_MeetingExpect,Worries_BalancingResp,Worries_MentalHealth,Worries_FigureOutLife,Worries_Societalssues,Worries_EnoughFood,Worries_PlaceToSleep,Hours_PrepForClass,Hours_Extracurriculars,Hours_Working,SuccessfulLife_TEXT,SupportYou_TEXT
2739140475,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,Non-Student of Color,Retained,3.44,2.23,Social Sciences,3.63,4.2,2.7,4,3,4,5,2,4,4,3,4,3,3,4,4,5,5,1,1,1,1,0,0,0,0,1,1,1,0,,1,4,3,2,3,4,4,2,3,1,1,4,4,3,My dream would be having the ability to travel and be some sort of respected essayist documenting mine and others experiences.,I'm sure they will do this but being patient and understanding that not everyone is certain what they want to do yet.
2748507422,23/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,-,4.48,4.00,Undecided,3.88,4.60,2.80,4,3,3,5,5,4,4,3,2,4,4,5,4,5,5,1,0,1,1,1,1,1,0,1,1,1,0,,1,4,4,4,2,3,2,2,4,2,1,4,3,5,career in urban planning/ public policy,
2761509270,22/FA,"First-Time, First-Year",Not Pell,First Gen,Female,Student of Color,Not Retained,3.82,0.74,No Longer Enrolled at Institution,4.63,5,2.6,5,4,4,5,5,5,5,4,4,4,5,5,5,5,5,1,1,0,1,0,0,0,1,0,1,1,0,,1,3,2,4,2,3,4,2,3,1,2,2,2,5,I will be a Pre-K teacher. I will have my own class and be impacting the lives of my students in a positive way every day. I hope to be going to school to get my PhD in Education Leadership so I can make my way up to be a superintendent. I hope to have a life full of people with whom I have meaningful relationships with. I hope that I have a family of I own and that I have made my parents proud.,Caring about me as in individual and following my student accommodations as given by the OSA.
2762129900,21/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,4.23,3.15,Arts and Humanities,4,3.8,3.4,4,5,4,3,5,4,4,3,4,3,4,4,3,4,4,1,1,0,1,0,0,0,1,0,1,1,0,,1,4,4,4,4,4,4,4,4,1,1,5,2,1,I’m working as a high school history teacher making enough money to live a comfortable life and pay off loans.,Create a supportive environment and provide useful resources
2783452529,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,Non-Student of Color,Retained,3.90,2.57,Undecided,3.25,4.6,2.3,4,4,2,2,4,4,4,2,4,4,5,5,4,4,5,1,1,0,0,1,1,1,0,0,0,1,0,,1,3,2,4,3,2,2,3,2,1,1,2,4,2,"I imagine myself living large, I am making a difference in peoples life and making the world a better place. I see myself with a happy family with great place for my children to grow up.",I thin LC could just help teach me life lessons and make sure that I have that Growth mindset and that when I do make a mistake make sure that I know its gonna be okay and that we are gonna move forward.
2788982488,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,Non-Student of Color,Retained,3.65,3.29,Math and Natural Sciences,4,4.6,4,4,5,4,5,5,4,3,2,4,4,3,5,5,5,5,1,1,0,0,0,0,0,0,1,0,1,0,,1,4,4,4,4,4,4,4,4,4,4,2,7,4,,
2803267492,21/FA,"First-Time, First-Year",Not Pell,First Gen,Male,Student of Color,Retained,3.59,2.75,Social Sciences,4,3.8,3.2,5,4,2,4,5,4,4,4,4,2,4,4,3,4,4,1,1,1,1,1,1,1,1,1,0,1,0,,1,4,3,4,2,2,4,4,2,3,4,5,3,3,"I would definitely be happy if I have a stable job where I am able to pay my stuff and be independent. I have most of my stuff in place, and I am able to support my family in some way.",Be there for me whenever I need it and have always the desire to help me if I feel there is something wrong in my life. (I’m sure you all will do it)
2807020376,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,Student of Color,Retained,3.50,3.03,Social Sciences,3.13,3.8,2.7,4,5,2,2,3,3,3,3,4,1,4,4,4,3,4,1,1,1,1,0,1,1,1,1,0,1,0,,1,4,2,3,3,3,4,3,3,1,1,4,4,1,Hopefully I will be using soccer for either playing occasionally or coaching. I want to be working a job that I don’t hate but I would be ok with a job I don’t love in the beginning,Help me when I’m in need
2808023685,23/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,-,4.23,3.93,Undecided,4.50,4.60,3.10,5,5,4,5,5,4,4,4,4,3,5,5,4,4,5,1,1,1,1,0,1,0,0,1,1,1,0,,1,4,3,3,4,4,4,3,4,1,1,,,,,
2824476010,23/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,Student of Color,-,3.72,3.00,Undecided,4.38,4.80,2.00,4,5,4,3,4,5,5,5,4,4,4,5,5,5,5,1,1,0,1,1,0,0,1,0,1,1,0,,1,3,2,3,2,2,1,3,2,1,1,5,4,3,I am not sure as of right now but I will be doing something in the line of medicine such as being a doctor or in the research line. I want to have a stable life and have a nice family.,I want it to be able to learn and have fun while doing it. I know it will be hard but I am willing to put the effort.
2830861615,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,Non-Student of Color,Retained,3.52,3.33,Undecided,3.13,2.6,2.6,3,5,1,3,2,5,3,3,3,1,2,2,2,2,5,0,1,1,1,0,1,1,0,0,0,1,0,,1,3,2,2,3,4,4,2,3,2,1,3,4,1,"I don't really care about having a bunch of money or stuff, its the people that make me happy. I want to surround myself with good people whom I love. If I'm living in a mansion or five people to a room doesn't matter.",Brutal honesty.
2831961219,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Student of Color,Not Retained,4.63,3.60,No Longer Enrolled at Institution,4.5,4.4,3.6,5,4,4,5,5,5,4,4,4,4,4,5,4,4,5,1,1,1,1,0,1,1,0,1,0,1,0,,1,4,4,2,4,4,4,3,4,4,3,4,3,1,"I would have a stable career that is meaningful to me. My main goal is just not to hate my job. I would hope that by that time I would have my mental health under control and a better understanding of who I am. I know it is small, but I just hope to have the mental capacity to eat three healthy meals a day, have clean dishes, have clean clothes, and a roof over my head in a city I love with friends who are more than acquaintances. I hope to have stable relationships, and the ability to partake in culture without feeling burned-out. I really wish I could think big, but that is big for me. Of course I would want to participate in social activism and always stay informed about the world and how it is changing. I hope to be a good teacher and be able to make an impact on at least a few students.",I am assuming they already are but just be helpful if I ask for help which hopefully I will.
2838314172,21/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,Non-Student of Color,Retained,4.24,3.85,Math and Natural Sciences,3.875,4.4,2.5,4,4,2,5,5,4,5,2,4,3,4,5,4,4,5,1,1,1,1,0,1,0,0,0,0,1,0,,1,3,4,2,3,3,2,2,4,1,1,3,3,3,,
2840361504,22/FA,"First-Time, First-Year",Not Pell,First Gen,Female,International,Retained,3.78,2.84,Undecided,4.13,4.4,2.3,4,5,3,4,5,4,4,4,4,4,4,5,4,4,5,0,0,0,0,0,0,0,0,0,0,1,0,,1,3,4,1,2,4,3,2,2,1,1,5,5,7,"If I had a successful life, I would wish to share it with oppressed and disguised people. I would donate clothing or food. If I am not donating  something, I will be respectful and considerate to my employees or coworkers. As a result, I will have a joyful and peaceful existence.","People in our environment can affect and drive us, therefore l and c faulty and staff can be our ideal or source of motivation to succeed in life."
2859001889,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Student of Color,Retained,3.40,2.00,Undecided,3,4,3.4,2,4,3,2,4,4,2,3,4,,4,4,4,3,5,1,1,1,1,1,1,1,1,0,0,1,0,,1,4,4,4,3,4,4,2,4,3,2,2,2,6,My dream would be to be on the supreme court. A more realistic dream of mine would be to be a district attorney. I would be working and living comfortably in a house to myself. Going out and hanging with friends but also being able to have time to myself. My main focus would be making sure I am financially stable and living a comfortable life following my dreams and passion.,
2861029408,23/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,-,4.08,3.69,Undecided,3.25,4.20,3.20,4,5,3,2,5,3,2,2,4,4,3,5,4,4,5,1,1,1,1,0,1,1,0,1,1,1,0,,1,4,4,2,4,4,4,4,4,1,1,5,3,4,"When I think of success, I honestly just think about living a life that makes me happy. Sure, I’d love to be financially secure, but not being happy is scarier than struggling for money. I hope to be surrounded by people I love and who love me more than anything.",Helping connect me to people who can point me in the right direction through meeting people and study tips!
2865052701,21/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Student of Color,Not Retained,4.52,4.00,No Longer Enrolled at Institution,4.25,4.4,2.6,4,4,3,5,5,5,5,3,2,2,5,5,3,4,5,0,1,1,1,0,1,0,0,1,1,1,0,,1,3,3,3,3,3,3,3,3,1,1,7,2,2,I would be a medical doctor in a specialty I like and be making a meaningful impact on my community.,They could continue to present resources to us and be understanding as we start classes.
2868700470,21/FA,"First-Time, First-Year",Pell,Not 1st Gen,Female,Student of Color,Retained,4.11,3.41,Social Sciences,4.25,4.4,3.1,5,3,4,4,5,4,4,5,4,3,4,5,4,4,5,0,1,1,1,0,1,0,0,1,0,1,0,,1,4,4,3,3,4,4,4,3,1,1,5,2,1,Success looks like a lot of different things for a lot of different people. I personally feel I am better equipped to succeed in an academic environment because it's a space that has always pushed me to continue to grow and explore. After graduating from LC (and finishing grad school) I am making my impact by helping others achieve their own educational goals through teaching English. I have time to travel and experience and learn about new cultures and languages. I'm living in a city but not beyond my means and I never really wanted anything excessive anyway so I'm comfortable and satisfied. I volunteer with social justice groups and apply my education to programs outside of teaching as well. I just want to leave the world better than it found me in any way I can contribute to change.,Faculty and staff at LC can support me by being understanding of the stress that comes not only with college but also being in school for the first time really in over a year and a half. There is such a culture change not only being on campus but also being in a classroom again and the stakes are higher now than they were in college (financial investment and all that). Being able to acknowledge that no one really knows what lies ahead and still being willing to be a support system through anything is important and making sure students know that is even more important. School is already stressful but when you add heightened emotional stress and trying to get back to being in a more traditional setting there are definitely going to be setbacks. I think I'm most stressed about having to pretend this year is normal and everything is fine when in reality it's brand new and a lot is going on.
2871076607,23/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,International,-,4.24,3.77,Undecided,4.00,4.60,2.00,5,4,4,4,4,5,3,3,4,3,5,5,4,4,5,1,1,1,1,0,1,0,0,0,0,1,0,,1,2,2,4,2,2,2,1,3,1,1,5,5,5,"I'm not sure what career path I want to follow after college. However I do know that I want to lead a well rounded life that has stable foundations, surrounded by family and friends. I have academic goals and I do want to be successful in what I end up doing, but maintaining my happiness and mental health is my priority number one. I want to leave college, proud and whole, with quality friends who I can rely on and fantastic memories.",Supportive teachers and councilors aid hard work and academic achievement. Having supportive members of staff who you know you can rely on in times of need I think are incredibly important to students.
2879527076,23/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,-,3.56,0.65,Undecided,3.88,4.40,3.40,4,4,5,3,2,5,5,3,4,4,4,5,4,4,5,1,1,0,1,0,1,0,0,0,1,1,0,,1,4,3,4,4,3,4,2,4,2,4,7,2,6,,
2889143355,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,4.17,3.76,Math and Natural Sciences,4.13,4.8,2,3,5,4,4,5,4,5,3,3,4,4,5,5,5,5,1,1,1,1,0,1,0,0,0,1,1,0,,1,1,2,4,2,2,3,2,2,1,1,5,2,3,In this future I am a successful neurosurgeon who went to a good graduate school. I am doing very well financially and am able to get all the material things I want. I am making a positive impact on at least the community I live in and am hopefully able to positively impact many through my work.,I'm not really sure yet because I have no idea what will be challenging for me this year. I would like support making a 3-4 year plan for graduating and understanding my transfer credit evaluation.
2900133463,23/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,-,4.22,4.00,Undecided,4.25,3.60,3.10,5,4,2,4,5,5,5,4,3,3,3,4,3,4,4,1,1,1,1,0,1,0,0,1,1,1,0,,1,4,3,4,4,4,4,2,3,1,2,3,3,4,"I would like to have a nice apartment and a fancy rug and maybe a dog. I hope to either work as a counseling psychologist or art therapist, but whatever I'm doing I want to have time and energy to create my own art. I want to travel and meet lots of different people and hear their stories. I want to have a group of close friends, some new and some old. I want to be financially secure, safe, and feel confident and trust myself. I want to have a voice and contribute to whatever field I am in.","Foster an environment where I feel safe asking for help (which so far I have experienced)
Flexibility 
Patience and understanding that not all processes of the school are obvious to freshmen
positive reinforcement
transparency"
2905053718,21/FA,"First-Time, First-Year",Not Pell,First Gen,Female,Non-Student of Color,Retained,3.72,3.56,Math and Natural Sciences,4.75,5,2.3,5,5,4,5,5,5,5,4,4,4,5,5,5,5,5,1,0,1,0,0,0,0,0,0,1,1,0,,1,4,1,3,3,2,2,2,3,1,2,5,3,1,I am an environmental attorney and advocate working for a conservation organization helping safeguard both wildlife and ecosystems.,Help prepare me for all situations that may be presented.
2917840057,21/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,3.94,3.98,Social Sciences,2.75,3.2,2.2,3,3,2,2,4,3,3,2,2,2,3,4,3,4,2,1,1,1,1,1,1,0,0,0,0,0,0,,1,3,3,2,2,3,3,3,1,1,1,4,4,3,honestly I just want a stable income and enough free time to do things I enjoy and be with people I like,🤷
2954596702,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,Non-Student of Color,Retained,4.41,3.89,Math and Natural Sciences,3.75,3.2,,4,4,3,4,5,4,3,3,3,3,4,3,3,3,3,1,1,0,1,0,1,1,0,0,0,1,0,,1,4,3,2,2,2,,1,3,1,1,4,2,3,,
2956745014,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Student of Color,Retained,4.57,3.75,Math and Natural Sciences,4.25,5,2.9,5,3,3,5,5,5,4,4,4,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,0,,1,4,3,2,4,4,4,2,4,1,1,4,5,4,,
2960778365,21/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Not Retained,4.00,2.93,No Longer Enrolled at Institution,3.375,3,2.1,3,3,4,3,4,4,3,3,4,3,3,4,2,3,3,1,1,0,1,1,1,0,0,0,0,1,0,,1,2,1,2,2,2,3,3,4,1,1,,,,,
2965456863,22/FA,New Transfer,Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,-,3.69,Arts and Humanities,4.13,4.2,3.1,4,4,5,5,5,4,4,2,4,4,4,4,4,4,5,0,1,1,1,0,0,0,0,0,0,1,0,,1,4,4,3,4,4,4,2,4,1,1,4,3,2,,
2986707902,21/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,Non-Student of Color,Retained,3.23,3.34,Math and Natural Sciences,4,4.4,2,5,3,2,5,4,5,5,3,4,2,5,5,4,5,3,0,1,1,1,0,1,0,0,1,1,1,0,,1,2,1,4,2,2,2,2,3,1,1,5,5,4,,
2988730504,21/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Student of Color,Not Retained,4.25,No GPA - did not complete first term,No Longer Enrolled at Institution,4.375,4,3.1,5,5,5,4,4,4,4,4,4,4,4,5,4,4,3,1,1,1,1,0,1,0,0,0,0,0,0,,1,4,3,4,3,4,3,4,3,2,1,4,2,2,"I hope to be traveling the world, making new connections with various people. My dream job would be a diplomat or head of a large organization that helps underrepresented people and cultures.",The faculty and staff can help me by providing support and resources that will further encourage me to reach my goals after college. Internships and being available for questions are very important to me.
2989306805,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,3.86,3.73,Arts and Humanities,3.75,3,2.6,5,4,3,4,3,4,3,4,4,3,3,3,2,3,4,1,1,1,0,1,1,0,1,0,0,0,0,,1,3,3,1,4,4,3,3,2,2,1,5,3,5,"I'm living comfortably with a partner in a quiet pocket of a city, maybe Portland. We go on day and overnight trips on a regular basis, and are always able to afford basic necessities. Our home has enough space for ourselves and a guest, and we aren't worried about making rent. We're both working in jobs that are intellectually engaging and fulfilling; we don't need to bring work home with us unless we want to. We feel that our careers are stable and the work we do helps people. We're able to transfer to working remotely without too much struggle, and can travel to new places or to see friends and family without upending our schedules. I've gotten top surgery and am still on testosterone. I feel like I have friends and family that understand and respect my boundaries, and whom I can have fun with and be myself around. I read and write a lot in my free time, and have the energy and resources to take up and practice new hobbies and interests.","I like detailed feedback on my academic and creative work - having a clear, realistic idea of professors' office hours and availability helps considerably."
2990291450,21/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,3.76,3.71,Social Sciences,3.375,3.2,3.2,3,4,5,2,4,4,2,3,4,4,3,4,2,2,5,0,1,1,0,1,0,0,0,0,0,0,0,,1,4,4,4,3,4,4,4,2,2,1,4,2,4,"Ideally, I am doing work related to criminology and forensic psychology. Perhaps I am a behavioral analyst in the FBI, or am working in an institution in which I spend time treating, talking to, and studying (for lack of a better word) perpetrators of serious crimes, people deemed psycho- or sociopathic, and/or people with other personality disorders. I am learning more every day and, even though my job is challenging and sometimes scary, I love it. I am living well, with enough money to support myself (and possibly a small family), probably not wealthy but not struggling to make ends meet either.","Most of what needs to be done to get to a point of success has to come from my end. However, support and encouragement when I am confused, struggling, and reach out for help would be much appreciated as I start this new chapter of my life. I also greatly appreciate honesty—I don't really know what to expect for college, and a lot of my presumptions will likely turn out to be incorrect. I appreciate advice, even if it's critical, and when people tell it how it is, even if that means telling me I've been expecting something different from the reality of the situation."
2991219191,22/FA,"First-Time, First-Year",Pell,First Gen,Female,Student of Color,Retained,3.95,2.24,Undecided,4.13,4.2,2.9,5,5,4,5,4,4,3,3,3,3,4,4,5,4,4,1,1,1,1,0,0,0,0,1,1,1,0,,1,3,3,4,2,3,4,3,4,2,1,5,3,4,"Some point in the future, after I'm done with school and hopefully complete all the steps of becoming a doctor. I hope become an OBGYN, caring and treating patients to ensure their success with their health. As well as advocating for healthcare policies that support and bridge the gap for minorities to gain better resources within the system.",Mental health resources.
2997641567,21/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,4.32,3.74,Arts and Humanities,4,4,3,4,4,4,5,4,4,4,3,4,2,3,5,4,4,4,1,1,1,1,0,1,0,0,1,0,1,0,,1,3,3,4,3,3,4,3,3,2,2,3,3,4,"I’m living out in nature hopefully by the ocean in a cottage with my animals and a pottery studio. Here I counsel clients with or without animals, help rehabilitate animals, and make wonderful art. I enjoy walks in the forest and on the beach with my dogs.","It would be helpful if every once and a while folks checked in, even a brief but sincere “how are you?” after class."
3004506469,22/FA,"First-Time, First-Year",Pell,Not 1st Gen,Male,Non-Student of Color,Not Retained,3.82,3.40,No Longer Enrolled at Institution,3.75,3,2.5,4,4,3,4,4,5,3,3,3,2,2,4,3,3,3,0,1,1,0,0,0,1,0,0,0,1,0,,1,3,2,3,3,3,3,2,4,1,1,4,2,2,"I would hope to always be creating. Whether that be art, or a family, or a home, I want to be actively using my imagination to live in this world with care and freedom. I think my idea of success is a home with land to harvest from, and room for my hypothetical children to play. This success also involves being able to provide for my family and community without self-compromise.","I think the L&C faculty and staff can be there to support me without judgment or blame when I come to them for help. Having a personal relationship with those who are there to help will both keep me inspired and driven, and allow for a balance of what I take and what I can give back."
3017484566,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,4.09,3.60,Math and Natural Sciences,4,4.4,3,4,5,2,5,5,4,5,2,2,3,5,5,4,4,4,1,1,1,0,1,1,0,0,0,1,0,0,,1,4,4,4,3,4,3,4,2,1,1,5,6,3,"I want to be financially stable, have a nice place to live, have a job where I am respected, and I want to have savings in case of emergency.",Please grade fairly! :)
3017875928,23/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,Non-Student of Color,-,3.64,1.91,Undecided,3.25,3.00,3.30,4,3,4,3,2,4,4,2,3,1,3,3,1,4,4,0,1,1,1,0,0,0,0,0,0,1,0,,1,4,2,3,2,4,4,4,4,4,2,6,6,5,I have literally no idea.,I’m not sure.
3030798190,21/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,4.51,2.98,No Longer Enrolled at Institution,4,4.4,3.1,4,4,3,5,5,4,4,3,2,2,4,5,5,4,4,0,1,0,1,0,1,1,1,0,0,0,0,,1,3,4,4,4,4,3,3,3,2,1,3,3,4,I hope I’m happy with a reliable job.,I think communication is one of the most helpful and important things that can make my college experience go smoothly.
3035623363,22/FA,"First-Time, First-Year",Not Pell,First Gen,Male,Student of Color,Retained,4.42,3.98,Social Sciences,3.88,4,2.9,4,4,3,4,5,4,4,3,3,3,4,4,4,3,5,0,0,1,0,0,0,0,0,0,0,0,0,,1,3,4,4,4,3,3,3,2,2,1,4,3,5,"Honestly I see myself continuing education for much of my life, even after I finish my undergrad at L&C. I want to do some sort of 4-1 in education to get me out in the work force and teaching almost immediately after school. While I plan to be working throughout my undergrad, getting a quick masters in education will allow me to get a higher pay out the gate in my desired field. From there I plan to continue my education even more while teaching, and after a higher degree of education and some time working hands on in the field of education I hope to make an early venture into the world of student affairs and educational policy either working with school districts or at a higher institution.","I find it rare that people WANT to go into education. Sometimes people want to be an English Teacher or a Math Teacher, but when it comes to what I want, I simply want to work in the field of education, I don't really care what I'd teach because my aspirations within the field simply only start with teaching. I would love to talk to counselors, professors, and other staff about what brought them into education. I have found that most teachers have a passion in what they are teaching, and became a teacher through that passion, whereas I have passions for leadership, establishing strong senses of community, and empowering leaders of tomorrow though do not find myself extremely passionate towards any particular area."
3041701451,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,3.92,2.66,Arts and Humanities,4.13,4.4,3.4,5,4,4,3,4,5,4,4,3,3,4,4,5,4,5,0,1,1,1,0,1,0,0,1,0,1,0,,1,3,3,4,4,4,4,4,4,2,2,5,4,6,"I hope to be working in environmental politics,(subject to change!) and helping make changes to the world, especially what seems like small changes. I hope that wherever I am, I am happy and surrounded by people and things I love.","I don't know right now, I am not really sure what level of support I will need or want yet"
3045843791,22/FA,"First-Time, First-Year",Pell,Not 1st Gen,Female,Non-Student of Color,Retained,4.16,3.19,Social Sciences,4,3.6,3.6,4,4,4,3,4,4,5,4,4,2,3,5,4,3,3,0,1,1,1,1,1,1,1,1,0,1,0,,1,4,4,2,4,4,4,4,4,3,3,4,4,1,,
3047490703,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,4.27,3.89,Math and Natural Sciences,3.88,5,1.8,5,4,3,2,5,5,4,3,4,4,5,5,5,5,5,1,1,1,1,0,0,0,0,0,1,1,0,,1,1,2,2,2,2,2,2,3,1,1,4,6,3,I would love to be working in the medical field and living comfortably in my house with my Saint Bernard and my cat. I plan to pursue my passion of writing as a hobby and advocating for those who face injustices in medicine.,"The best thing that the L&C faculty could do to help support me this year is to provide me with the resources I need to start my journey towards medical school. More specifically, helping me to create a four-year plan and teaching me about the opportunities in the area that can help lead me in the right direction."
3048721546,23/FA,"First-Time, First-Year",Not Pell,First Gen,Female,Student of Color,-,Unavailable,3.50,Undecided,4.63,5.00,2.70,5,4,4,4,5,5,5,5,4,4,5,5,5,5,5,1,1,0,1,1,0,1,1,1,0,1,0,,1,2,3,4,3,3,3,3,2,2,2,3,2,3,"I want my life to look like a comfortable one where I’m known as an artist to be able to open my own small shop, to teach kids and demonstrate my art to the world. Living in my own house with a big yard with the feeling of being surrounded in nature.","I would like to be supported in my academical studies, recommendations on how I can get better in subjects that I still lack on and tips on how I can enjoy my year in Lewis & Clark College."
3048746341,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,4.25,3.93,Social Sciences,3.25,3.8,2.2,4,4,2,2,5,4,3,2,3,2,3,4,4,4,4,1,1,1,1,1,1,0,1,0,0,0,0,,1,2,3,1,2,2,3,4,3,1,1,6,4,4,"I have multiple streams of income that allow me to slow-travel a few months at a time. I get fulfillment from my main job and I look forward to the work. I'm not exactly sure what the perfect job would be, but photography and design would fit into it somehow, or at least I would be able to do those on the side. A cover designer at a publishing house with a tight-knit community and casual work environment would probably be ideal.","Provide me with opportunities and connections that help me further my career goals, and offer any advice that could be helpful."
3053928707,23/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,Non-Student of Color,-,4.43,3.43,Undecided,4.25,4.80,3.60,5,4,4,4,5,5,4,3,4,3,5,5,5,4,5,1,1,0,1,1,0,0,0,0,0,1,0,,1,4,3,3,3,3,4,4,4,4,4,2,2,2,"I plan to become a travel photographer for National Geographic, but before I can do that, I want to take some photo gigs first, ex: weddings, sports, portraits, etc. to help get some money.",I’d like to be taught how to attain a job after college that suits my future.
3067018301,21/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,Student of Color,Retained,4.09,3.06,Arts and Humanities,3.5,3,2.4,4,3,3,4,4,4,3,3,3,1,3,3,3,3,3,0,1,1,1,0,1,0,1,0,0,0,0,,1,3,2,1,2,4,4,4,2,1,1,3,2,1,I'm happy and in the present doing what I truly love. I'm not concerned about how much I'm paid or with fame/reputation but I'm happy.,I do have questions outside of class sometimes. I also may benefit talking to a counselor at some point but I'm not sure yet.
3092849665,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,Student of Color,Retained,3.82,3.04,Social Sciences,4.25,4.6,3.4,5,5,2,3,5,5,5,4,4,3,4,5,4,5,5,1,1,1,1,1,1,1,1,1,1,1,0,,1,4,4,2,4,3,3,3,4,3,4,6,4,4,"By day I work as a musem curator at any critically acclaimed international museum raising awareness of the world's most pressing social issues or as a field biologist/environment protection advocate but by night I play my own music I write or covers of other bands, live in front of an audience and have a couple albums published.","Help me succeed academically (I expect all A's from myself), give me an exciting, unique teaching experience, make instructions of assignments, homework's, deadlines, tests, etc as clear as possible."
3101017379,21/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,4.00,3.13,Math and Natural Sciences,3.625,4.4,1.9,4,4,4,3,4,4,3,3,3,4,5,5,4,4,4,1,1,0,1,0,0,0,0,1,0,1,0,,1,2,2,1,2,3,2,2,2,2,1,6,5,3,,
3115824830,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,4.40,3.10,Undecided,4,3.6,3.3,4,4,3,5,5,5,3,3,,2,4,4,2,4,4,1,1,1,1,1,1,1,1,1,1,1,0,,1,4,4,3,4,4,4,3,3,2,2,4,3,3,"I would like to have the financial freedom to travel often, but a nice home base. I'd want to be self employment preferably and a flexible schedule.","I would love just communicating with professors, and help reaserching and siting sources."
3135292218,23/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,International,-,3.70,2.61,Undecided,4.13,5.00,2.70,4,5,3,4,5,4,5,3,3,4,5,5,5,5,5,1,1,1,1,1,1,0,1,1,1,0,0,,1,4,4,4,2,4,4,2,1,1,1,6,5,4,"I don't believe in planning your life ahead. Something that keeps me going is my aim to secure a career that I'm proud of, especially something that I look forward to everyday. I'd love to be doing something great with my Psychology degree, something that doesn't limit me from going back home at least once every year. The success that I'm working wouldn't only be for me but for my family and for me to give back to the community.","To support me to reach my full potential, Lewis & Clark faculty could accept me for who I am, nourish my curiosity in their own ways, and suggest me ways to learn better, especially sometimes pushing me outside my comfort zone."
